Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2009-09-28,47.69,48.93,47.43,48.61,814400.0,0.0,1.0,42.59050575601154,43.69791248986464,42.358307569881056,43.41213010693482,814400.0
2009-09-29,48.79,49.37,48.47,48.68,680500.0,0.0,1.0,43.57288269733284,44.09086326639316,43.28710031440301,43.47464500320071,680500.0
2009-09-30,48.85,48.94,47.63,48.37,992000.0,0.0,1.0,43.626466894132186,43.70684318933121,42.5369215592122,43.197793319737436,992000.0
2009-10-01,48.39,48.39,46.53,46.86,1203300.0,0.0,1.0,43.21565471867055,43.21565471867055,41.554544617890905,41.84925770028729,1203300.0
2009-10-02,46.25,47.89,46.04,47.3,1072900.0,0.0,1.0,41.304485032827294,42.769119745342685,41.1169403440296,42.24220847681581,1072900.0
2009-10-05,47.6,47.98,47.15,47.6,644400.0,0.0,1.0,42.51012946081253,42.8494960405417,42.10824798481745,42.51012946081253,644400.0
2009-10-06,48.0,48.53,47.68,48.15,631700.0,0.0,1.0,42.86735743947481,43.34068451120236,42.581575056544985,43.00131793147317,631700.0
2009-10-07,47.96,48.49,47.69,48.01,581800.0,0.0,1.0,42.831634641608595,43.304961713336134,42.59050575601154,42.876288138941376,581800.0
2009-10-08,48.51,49.08,48.16,48.26,692400.0,0.0,1.0,43.322823112269226,43.831872981863,43.01024863093972,43.099555625605305,692400.0
2009-10-09,48.05,48.67,48.04,48.48,467300.0,0.0,1.0,42.912010936807604,43.46571430373415,42.90308023734104,43.29603101386957,467300.0
2009-10-12,48.7,48.97,48.19,48.31,408500.0,0.0,1.0,43.49250640213383,43.73363528773086,43.0370407293394,43.144209122938086,408500.0
2009-10-13,48.38,48.58,47.71,48.4,463800.0,0.0,1.0,43.206724019203996,43.385338008535136,42.60836715494466,43.2245854181371,463800.0
2009-10-14,48.93,49.66,48.67,49.65,659700.0,0.0,1.0,43.69791248986464,44.34985355092332,43.46571430373415,44.34092285145675,659700.0
