,Added_date,Removed_date,Predecessor
DOV,1990-01-01,2020-01-01,
DOW,1990-01-01,2020-01-01,
DTE,1990-01-01,2020-01-01,
DUK,1990-01-01,2020-01-01,
DRE,2017-07-26,2020-01-01,RIG
DD,1990-01-01,2020-01-01,
DXC,2017-04-04,2020-01-01,SWN
EMN,1990-01-01,2020-01-01,
ETN,1990-01-01,2020-01-01,
EBAY,1990-01-01,2020-01-01,
ECL,1990-01-01,2020-01-01,
EIX,1990-01-01,2020-01-01,
EW,2011-03-31,2020-01-01,Q
EA,1990-01-01,2020-01-01,
EMR,1990-01-01,2020-01-01,
ENPH,2021-01-07,2020-01-01,TIF
ETR,1990-01-01,2020-01-01,
EOG,1990-01-01,2020-01-01,
EFX,1990-01-01,2020-01-01,
EQIX,2015-03-23,2020-01-01,DNR
EQR,1990-01-01,2020-01-01,
ESS,2014-04-02,2020-01-01,CLF
EL,1990-01-01,2020-01-01,
ETSY,2020-09-21,2020-01-01,HRB
EVRG,2018-06-05,2020-01-01,NAVI
ES,1990-01-01,2020-01-01,
RE,2017-06-19,2020-01-01,MJN
EXC,1990-01-01,2020-01-01,
EXPE,2007-10-02,2020-01-01,SLR
EXPD,1990-01-01,2020-01-01,
EXR,2016-01-19,2020-01-01,ACE
XOM,1990-01-01,2020-01-01,
FFIV,2010-12-17,2020-01-01,EK
FAST,2008-09-12,2020-01-01,FNM
FRT,2016-02-01,2020-01-01,BRCM
FDX,1990-01-01,2020-01-01,
FIS,1990-01-01,2020-01-01,
FITB,1990-01-01,2020-01-01,
FE,1990-01-01,2020-01-01,
FRC,2019-01-02,2020-01-01,SCG
FISV,1990-01-01,2020-01-01,
FLT,2018-06-20,2020-01-01,TWX
FMC,1990-01-01,2020-01-01,
F,1990-01-01,2020-01-01,
FTNT,2018-10-11,2020-01-01,EVHC
FTV,2016-07-05,2020-01-01,CPGX
FBHS,2016-06-22,2020-01-01,CVC
FOXA,2013-06-28,2020-01-01,APOL
FOX,1990-01-01,2020-01-01,
BEN,1990-01-01,2020-01-01,
FCX,1990-01-01,2020-01-01,
GPS,1990-01-01,2020-01-01,
GRMN,2012-12-11,2020-01-01,RRD
IT,2017-04-05,2020-01-01,DNB
GNRC,2021-03-22,2020-01-01,XRX
GD,1990-01-01,2020-01-01,
GE,1990-01-01,2020-01-01,
GIS,1990-01-01,2020-01-01,
GM,2013-06-06,2020-01-01,HNZ
GPC,1990-01-01,2020-01-01,
GILD,1990-01-01,2020-01-01,
GL,1990-01-01,2020-01-01,
GPN,2016-04-25,2020-01-01,GME
GS,1990-01-01,2020-01-01,
GWW,1990-01-01,2020-01-01,
HAL,1990-01-01,2020-01-01,
HBI,2015-03-23,2020-01-01,AVP
HIG,1990-01-01,2020-01-01,
HAS,1990-01-01,2020-01-01,
HCA,2015-01-27,2020-01-01,SWY
PEAK,1990-01-01,2020-01-01,
HSIC,2015-03-18,2020-01-01,CFN
HSY,1990-01-01,2020-01-01,
HES,1990-01-01,2020-01-01,
HPE,2015-11-02,2020-01-01,HCBK
HLT,2017-06-19,2020-01-01,YHOO
HOLX,2016-03-30,2020-01-01,POM
HD,1990-01-01,2020-01-01,
HON,1990-01-01,2020-01-01,
HRL,2009-03-03,2020-01-01,ACAS
HST,1990-01-01,2020-01-01,
HWM,2020-04-01,2020-01-01,ARNC
HPQ,1990-01-01,2020-01-01,
HUM,1990-01-01,2020-01-01,
HBAN,1990-01-01,2020-01-01,
HII,2018-01-03,2020-01-01,BCR
IEX,2019-08-09,2020-01-01,FL
IDXX,2017-01-05,2020-01-01,STJ
INFO,2017-06-02,2020-01-01,TGNA
ITW,1990-01-01,2020-01-01,
ILMN,2015-11-19,2020-01-01,SIAL
INCY,2017-02-28,2020-01-01,SE
IR,2020-03-02,2020-01-01,XEC
