,Added_date,Removed_date,Predecessor
JEF,2007-08-24,2019-09-26,KSE
WIN,1990-01-01,2015-04-07,
TDC,2007-10-01,2017-06-19,NCR
MJN,2009-12-18,2017-06-19,DYN
AVP,1990-01-01,2015-03-23,
NVLS,1990-01-01,2012-06-05,
SRCL,1990-01-01,2018-12-03,
NAVI,2014-05-01,2018-06-05,SLM
DWDP,2017-09-01,2019-06-03,DOW
ADS,2013-12-23,2020-06-22,ANF
MUR,1990-01-01,2017-07-26,
FRX,1990-01-01,2014-07-01,
LXK,1990-01-01,2012-10-01,
DF,1990-01-01,2013-05-23,
AGN,1990-01-01,2020-05-12,
ANF,1990-01-01,2013-12-23,
CNX,1990-01-01,2016-03-04,
SNDK,1990-01-01,2016-05-13,
DELL,1990-01-01,2013-10-29,
PCP,1990-01-01,2016-02-01,
QEP,2010-06-30,2015-07-01,STR
DNR,1990-01-01,2015-03-23,
SUN,1990-01-01,2012-10-10,
CXO,2016-02-22,2021-01-21,PCL
COV,2011-02-28,2015-01-27,MFE
TRB,1990-01-01,2007-12-20,
LM,1990-01-01,2016-12-02,
BBBY,1990-01-01,2017-07-26,
XL,1990-01-01,2018-09-14,
MNK,2014-08-18,2017-07-26,RDC
LLL,1990-01-01,2019-07-01,
TWC,1990-01-01,2016-05-18,
TLAB,1990-01-01,2011-12-20,
MI,1990-01-01,2011-07-05,
LDW,1990-01-01,1999-12-07,
AN,1990-01-01,2017-08-08,
M,1990-01-01,2020-04-03,
IGT,1990-01-01,2014-06-20,
RRC,2007-12-20,2018-06-18,TRB
ARG,2009-09-28,2016-05-23,CBE
GNW,1990-01-01,2015-11-18,
URBN,1990-01-01,2017-03-20,
DTV,1990-01-01,2015-07-29,
GHC,1990-01-01,2014-09-20,
WYN,1990-01-01,2018-05-31,
CLF,2009-12-18,2014-04-02,KBH
MAC,2013-05-08,2019-12-23,CVH
BRCM,1990-01-01,2016-02-01,
KSS,1990-01-01,2020-09-21,
PRGO,2011-12-16,2021-09-20,MWW
LEH,1990-01-01,2008-09-16,
TIE,1990-01-01,2012-12-21,
GENZ,1990-01-01,2011-04-01,
GLK,1990-01-01,2005-07-01,
NOVL,1990-01-01,2011-04-27,
PETM,2012-10-10,2015-03-12,SUN
S,1990-01-01,2013-07-08,
ITT,1990-01-01,2011-10-31,
CVH,1990-01-01,2013-05-08,
PBI,1990-01-01,2017-03-01,
FII,1990-01-01,2012-12-31,
ESV,2012-07-31,2016-03-30,GR
SE,1990-01-01,2017-02-28,
SPLS,1990-01-01,2017-09-18,
FTR,1990-01-01,2017-03-20,
HAR,1990-01-01,2017-03-16,
VIAB,1990-01-01,2019-12-05,
EP,1990-01-01,2012-05-17,
JNY,1990-01-01,2009-03-03,
TYC,2010-08-26,2016-09-06,SII
FRE,1990-01-01,2008-09-12,
RRD,1990-01-01,2012-12-11,
WFR,1990-01-01,2011-12-16,
