HRS,LHX,2019-01-07
KFT,MDLZ,2012-10-02
JEC,J,2007-10-26
PCLN,BKNG,2009-11-06
TSO,ANDV,2017-08-01
DLPH,APTV,2017-12-06
KORS,CPRI,2016-10-05
LUK,JEF,2018-05-23
