,Long,Short
2003-01-02,0.011032936708155139,0.0022652010585355042
2003-01-03,0.023306242470719486,-0.028767432321402976
2003-01-06,-0.0015202861268995727,0.018523196497278693
2003-01-07,-0.010415428878893618,0.02535878489655048
2003-01-08,0.01571196431795483,-0.011997050355282413
2003-01-09,0.013667325144654796,-0.009768690560172044
2003-01-10,0.0001541688236881611,0.00815751566344194
2003-01-13,0.0002215415931273057,0.008480499086995464
2003-01-14,-0.015991005935971015,0.01814934796297173
2003-01-15,0.002623950894377758,0.006149631775869013
2003-01-16,0.0032855819083047024,0.016804367974346625
2003-01-17,-0.005661534266181744,0.011814781736663348
2003-01-21,0.007891682349100027,0.012964797141031659
2003-01-22,0.005417639459427104,-0.0006221878930287583
2003-01-23,0.0012415589013091255,0.02355928227624371
2003-01-24,-0.0005381193492374981,0.02092476270814151
2003-01-27,0.018763232020497556,-0.0260506304372644
2003-01-28,0.017433086637084726,-0.005432993514362039
2003-01-29,-0.0018565777458339982,0.014754009758185704
2003-01-30,0.024131962654976857,-0.004992435653772475
2003-01-31,0.005800992126023774,0.012039988343822184
2003-02-03,-0.000480480323688115,0.00631014567412933
2003-02-04,-0.00047748714919142453,-0.0024302838051435626
2003-02-05,-0.0013572484791431693,0.006042313079945172
2003-02-06,-0.0029979195652117263,0.01927181320333038
2003-02-07,0.015163796239798799,0.010377312385092619
2003-02-10,-0.007548853950189815,0.012870640020248935
2003-02-11,-0.011783683746085238,0.02704732877615491
2003-02-12,-0.0017337004468982453,0.0008436504173012782
2003-02-13,0.014696578823654383,-0.01761196154533784
2003-02-14,0.016558437595731012,-0.007024493684973321
2003-02-18,0.0031840310633527436,0.01745232470455632
2003-02-19,0.009753066482229279,-0.008429816329876272
2003-02-20,0.009945012874376168,-0.009745859937210577
2003-02-21,-0.004354924757038514,-0.0028727522858878695
2003-02-24,0.014121315300361903,-0.016701216280779984
2003-02-25,-0.008147667506973977,0.008642707790203263
2003-02-26,0.006449303862189548,0.0006898716957662199
2003-02-27,0.0016764130541026656,-0.0022750448855011094
2003-02-28,0.0041146660053506205,0.02295207651638036
2003-03-03,-0.0055172087967090945,0.014212886425081162
2003-03-04,0.008989557201160426,-0.008753329021379897
2003-03-05,-0.0049068653925558705,0.00890253903491195
2003-03-06,0.02229826647107771,-0.003967565757581837
2003-03-07,-0.0184219241320155,0.002012979427161521
2003-03-10,-0.0018106966860435224,0.015723423873588625
2003-03-11,0.0065370287144778105,-0.007186177032478402
2003-03-12,-0.016490618222265573,-0.018111717704992192
2003-03-13,-0.000820722374520666,0.0067321800395553025
2003-03-14,0.03311727689519219,-0.042926438006416635
2003-03-17,0.011103443382229483,-0.017831442896039506
2003-03-18,0.006491203953702574,-0.02024285516511699
2003-03-19,0.012139502524875546,0.004102349085385026
2003-03-20,0.014903554980301404,0.00027423890891006277
2003-03-21,-0.01003370574063348,0.03129747919250488
2003-03-24,0.02011436422823514,-0.005335189879969204
2003-03-25,0.003258920093749407,0.0066512120208671475
2003-03-26,0.01045692523281233,-0.00965426348661822
2003-03-27,0.009337840430631971,-0.0042190529429253385
2003-03-28,0.008943366051379709,0.017870835989544198
2003-03-31,0.005956831526053951,-0.010354919555558706
2003-04-01,0.003694481326039556,-0.008332013797447847
2003-04-02,-0.01192024333272792,0.016444193703514687
2003-04-03,0.0071040234431933745,0.0034709429994778662
2003-04-04,0.0016224846924468793,0.040966915123002004
2003-04-07,0.0029171418754313392,0.0049949107691263815
2003-04-08,-0.008248343363621947,0.01217531938031784
2003-04-09,0.01125249891998149,0.0008005460138231669
2003-04-10,-0.011484180619139184,0.011752409958636311
2003-04-11,0.017919614337357493,-0.006120126430682993
2003-04-14,0.007871042716142074,-0.0042320654724187
2003-04-15,-0.009724830433893872,0.0013376092606158796
2003-04-16,0.015579133484075424,-0.04672184937962224
2003-04-17,0.0100642747651154,-0.0029153343697667757
2003-04-21,0.033970519490257776,-0.03350540546910703
2003-04-22,-0.002356159005970371,-0.02523038819407033
2003-04-23,0.005411384915803152,-0.006520179128450931
2003-04-24,-0.004951145593470385,0.00927509394710565
2003-04-25,0.01879086594295317,-0.01467604749442426
2003-04-28,-0.00264386785411449,0.008706812707981671
2003-04-29,0.01162698721284725,-0.015939737775319363
2003-04-30,0.008782542187973575,-0.006974738040244255
2003-05-01,0.020625710576894985,-0.03023523535082162
2003-05-02,0.006382057521940665,-0.022695459291811337
2003-05-05,0.008701250774092516,-0.011254332274606472
2003-05-06,0.0032828659758015522,0.002963567443615278
2003-05-07,-0.0012947158037485917,-5.413576078657778e-05
2003-05-08,0.017854021952287323,-0.02332481960592664
2003-05-09,0.021349425575491243,-0.0195455039267556
2003-05-12,0.004257632848714432,0.007024086121087181
2003-05-13,0.012825261773078734,0.0016719055241311343
2003-05-14,0.014471771018654067,0.002616649789780745
2003-05-15,0.016636323766409566,-0.010176333415153583
2003-05-16,-0.017595366785884227,0.023288616321143395
2003-05-19,-0.004150000332307779,7.33859830059913e-05
2003-05-20,0.011503945481902223,0.003098430722196799
2003-05-21,0.009881914749582933,-0.007438844163885039
2003-05-22,0.006327153262712881,-0.028664390695539544
2003-05-23,0.02313546331204126,-0.03848731788358685
2003-05-27,0.0012878796425369377,-0.001071103203487711
2003-05-28,0.006067999657357504,-0.0033797870872649847
2003-05-29,0.02305131584420217,-0.018561413345013024
2003-05-30,0.002414043915553532,0.015930071020442627
2003-06-02,-0.0008918004024355164,0.005370506712405932
2003-06-03,0.021762517318772167,-0.010175872188586631
2003-06-04,0.005426506571299028,-0.011830361664772415
