epoch,accuracy,loss,val_accuracy,val_loss
0,0.5219467282295227,0.6908418536186218,0.5287050008773804,0.6901005506515503
1,0.5271029472351074,0.6899124979972839,0.5351355671882629,0.6893630027770996
2,0.5325552225112915,0.6891798973083496,0.5376316905021667,0.6885455250740051
3,0.53538978099823,0.688472330570221,0.5404027700424194,0.6877293586730957
4,0.538197934627533,0.687595784664154,0.5440199971199036,0.6871960163116455
5,0.5402498245239258,0.6871542930603027,0.5431526899337769,0.6867407560348511
6,0.5403503179550171,0.6868664026260376,0.5437026619911194,0.6866863965988159
7,0.5408104062080383,0.6866227984428406,0.5442103743553162,0.686517596244812
8,0.5409214496612549,0.6864829659461975,0.5451199412345886,0.6863425970077515
9,0.5421695113182068,0.6863780617713928,0.5445064902305603,0.6864289045333862
10,0.5422170758247375,0.6862231492996216,0.5455218553543091,0.6862653493881226
11,0.5432113409042358,0.6859697699546814,0.5453949570655823,0.6861611008644104
12,0.5436608195304871,0.6858471632003784,0.5466217994689941,0.6862201690673828
13,0.5434651374816895,0.6857709884643555,0.5457545518875122,0.6861804127693176
14,0.5430420637130737,0.6857835650444031,0.5458179712295532,0.6859311461448669
15,0.5442954301834106,0.6854406595230103,0.545881450176239,0.6860322952270508
16,0.5447660684585571,0.6854444742202759,0.5451622605323792,0.6861724257469177
17,0.5448454022407532,0.6853516101837158,0.5451834201812744,0.6858996748924255
18,0.5453372597694397,0.6851359605789185,0.5457968711853027,0.6858428716659546
19,0.5437983274459839,0.6850757002830505,0.5443584322929382,0.6861280202865601
20,0.5471405982971191,0.6848841309547424,0.5443584322929382,0.6860564947128296
21,0.5467439293861389,0.684857189655304,0.5427719354629517,0.6863189339637756
22,0.5470189452171326,0.6846319437026978,0.5453949570655823,0.6860468983650208
23,0.5473679900169373,0.6845226883888245,0.5449718832969666,0.6864215731620789
24,0.5476165413856506,0.6844611167907715,0.5449507236480713,0.6860083341598511
25,0.5487694144248962,0.6841932535171509,0.5451834201812744,0.6860948204994202
26,0.5490232110023499,0.6841115951538086,0.5448237657546997,0.6864378452301025
27,0.5494992136955261,0.6839857697486877,0.5453526377677917,0.686625599861145
28,0.5504352450370789,0.6838003993034363,0.5452468395233154,0.6865279674530029
